video_id,titulo,canal,categoria_estimulacion,tipo_produccion,formato,fuente_etiqueta,url,duracion_analizada_seg,cortes_por_minuto,duracion_promedio_escena,magnitud_movimiento_promedio,variabilidad_movimiento,luminosidad_promedio,variabilidad_luminosidad,contraste_promedio,variabilidad_contraste,saturacion_promedio,variabilidad_saturacion,flicker_promedio,destellos_por_minuto,riqueza_cromatica,densidad_bordes_promedio,energia_audio_promedio,variabilidad_audio,tempo_bpm,onsets_por_minuto,brillo_espectral_promedio
TIy5Iy6V54E,I Love My Bed + More Bedtime Routine Songs for Babies | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=TIy5Iy6V54E,120.0,17.0,3.43,0.8571,1.0422,143.93,35.27,44.49,10.76,146.41,41.96,0.7436,16.5,20.76,5.98,0.1061,0.033,103.36,189.5,2362.38
bL4drdg-41Y,Nina Builds a New Best Friend! 🎨 Pin Pon Paper Doll Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=bL4drdg-41Y,120.0,19.0,3.08,0.9907,1.206,171.67,23.47,49.71,8.47,138.44,28.58,0.6715,16.5,22.66,12.74,0.1435,0.062,172.27,207.0,2454.11
vTLfOqEolsk,Finger Family - Classic Nursery Rhymes | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=vTLfOqEolsk,120.0,21.0,2.79,1.0713,1.4499,150.42,30.77,51.55,9.66,118.84,28.79,0.7976,16.0,23.75,9.89,0.1039,0.0388,117.45,213.0,2435.07
7Qfq7vsVWWQ,Yes Yes Let’s Get Dressed & Time To Go to School! | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=7Qfq7vsVWWQ,120.0,20.0,2.93,1.2885,1.2623,181.84,26.16,41.8,8.43,113.51,30.2,0.8676,17.5,23.14,8.26,0.1068,0.0462,99.38,196.0,2576.22
enI7IxrqyuM,"Oh No! Cody dropped his Ice Cream | Happy, and You Know It | CoComelon Nursery Rhymes & Kids Songs",Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=enI7IxrqyuM,120.04,19.99,2.93,0.7683,0.9465,169.73,26.71,50.71,10.8,117.59,33.53,0.7206,17.49,22.07,8.36,0.1089,0.0377,136.0,200.5,1990.84
MEAR7ENkieM,Jelly on a Plate 🧑‍🍳 Cooking with JJ & Cody | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=MEAR7ENkieM,120.0,21.5,2.73,0.8613,1.0221,188.82,19.25,43.03,9.52,127.17,26.71,0.6038,15.0,21.45,7.67,0.1314,0.0625,129.2,213.0,2119.93
wBv_ywwaAfk,My Daddy Song - CoComelon's Dad Best Moments | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=wBv_ywwaAfk,120.0,22.5,2.61,1.0868,0.9994,155.97,40.6,46.34,13.27,94.17,31.35,0.966,24.0,23.48,8.17,0.0892,0.0453,95.7,250.0,2486.6
_cmxOYRWYQA,Freeze Dance Challenge | Toddler Games Freeze and Stop | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=_cmxOYRWYQA,120.0,12.0,4.8,1.0648,1.284,216.92,14.28,42.24,7.52,115.14,23.32,0.4883,10.0,23.03,8.73,0.1624,0.0977,129.2,204.5,2842.41
vFdBQ64gZf4,Humpty Dumpty at School with JJ's Friends | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=vFdBQ64gZf4,120.0,19.5,3.0,1.1143,1.2869,156.28,27.81,51.48,9.55,124.68,27.42,0.8033,19.0,25.5,10.07,0.1224,0.0542,103.36,206.5,2366.1
O0nV7hJ9qzk,Potty Training Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Alta Estimulacion,animacion,musical,Curaduria_Canales,https://www.youtube.com/watch?v=O0nV7hJ9qzk,120.0,18.0,3.24,1.4053,1.1105,196.08,22.32,42.43,9.98,83.02,27.78,0.7708,16.5,22.16,7.76,0.0735,0.0368,99.38,205.0,2553.66
